Supporting Data	Study Title	# of Subjects	Experiment Measurement Techniques	Pis	Publications	Pubmed ID	
SDY1108	Systemic Immunity for Cancer Immunotherapy	13	CyTOF	Matthew Spitzer (UCSF; Stanford University) Garry Nolan (Stanford University) Edgar Engleman (Stanford University)	Systemic Immunity Is Required for Effective Cancer Immunotherapy.	28111070	
SDY111	VZV vaccination in the elderly	48	ELISA,ELISPOT,Luminex xMAP,HLA Typing,DNA microarray	Jorg Goronzy (Stanford University)	B-cell repertoire responses to varicella-zoster vaccination in human identical twins.	25535378	
SDY113	Plasmablast response to inactivated and live attenuated influenza vaccines (TIV3/TIV3 ID/LAIV) in 2011	70	ELISA,ELISPOT,Luminex xMAP,Hemagglutination Inhibition,Flow Cytometry,CyTOF,DNA microarray	Harry Greenberg (Stanford University)	Distinct cross-reactive B-cell responses to live attenuated and inactivated influenza vaccines.	24676204	
SDY144	Systems Biology Approach to Study Influenza Vaccine 2011-12 in Healthy Children (see companion studies SDY364, SDY368, SDY387)	17	DNA microarray,Hemagglutination Inhibition,Flow Cytometry,Virus Neutralization	Octavio Ramilo (Nationwide Children’s Hospital)	Differences in antibody responses between trivalent inactivated influenza vaccine and live attenuated influenza vaccine correlate with the kinetics and magnitude of interferon signaling in children.	24495909	
SDY162	Immunologic and genomic signatures of response to Hepatitis C Virus infection.	20	DNA microarray	David Hafler (Yale University)	Impaired toll-like receptor 3-mediated immune responses from macrophages of patients chronically infected with hepatitis C virus.	23220997	
SDY180	Systems scale interactive exploration reveals quantitative and qualitative differences in response to 2009-2010 Fluzone influenza vaccine and pneumococcal vaccine	46	DNA microarray,Hemagglutination Inhibition,Flow Cytometry,Luminex xMAP,Virus Neutralization	A.Karolina Palucka (Bailer Research Institute)	Systems scale interactive exploration reveals quantitative and qualitative differences in response to influenza and pneumococcal vaccines.	23601689	
SDY183	Effect of age on 2008/2009 trivalent influenza vaccine response	76	Protein microarray	PJ Utz (Stanford University)	Apoptosis and other immune biomarkers predict influenza vaccine responsiveness.	23591775	
SDY183	Effect of age on 2008/2009 trivalent influenza vaccine response	76	Protein microarray	PJ Utz (Stanford University)	Characterization of influenza vaccine immunogenicity using influenza antigen microarrays.	23734205	
SDY202	Heterovariant cross-reactive B-cell responses induced by the 2009 pandemic influenza virus A subtype H1N1 vaccine	79	ELISA,ELISPOT,Luminex xMAP,Hemagglutination Inhibition,Flow Cytometry	Harry Greenberg (Stanford University)	Heterovariant cross-reactive B-cell responses induced by the 2009 pandemic influenza virus A subtype H1N1 vaccine.	23107783	
SDY207	Cytometry by time-of-flight shows combinatorial cytokine expression and virus-specific cell niches within a continuum of CD8+ T cell phenotypes	6	CyTOF	Mark.M.Davis (Stanford University)	Cytometry by time-of-flight shows combinatorial cytokine expression and virus-specific cell niches within a continuum of CD8+ T cell phenotypes.	22265676	
SDY212	Apoptosis and other immune biomarkers predict influenza vaccine (TIV 2008) responsiveness	91	Hemagglutination Inhibition,Flow Cytometry,Luminex xMAP,DNA microarray,Protein microarray	Mark.M.Davis (Stanford University)	Apoptosis and other immune biomarkers predict influenza vaccine responsiveness.	23591775	
SDY212	Apoptosis and other immune biomarkers predict influenza vaccine (TIV 2008) responsiveness	91	Hemagglutination Inhibition,Flow Cytometry,Luminex xMAP,DNA microarray,Protein microarray	Mark.M.Davis (Stanford University)	Effects of aging, cytomegalovirus infection, and EBV infection on human B cell repertoires.	24337376	
SDY212	Apoptosis and other immune biomarkers predict influenza vaccine (TIV 2008) responsiveness	91	Hemagglutination Inhibition,Flow Cytometry,Luminex xMAP,DNA microarray,Protein microarray	Mark.M.Davis (Stanford University)	Defective Signaling in the JAK-STAT Pathway Tracks with Chronic Inflammation and Cardiovascular Risk in Aging Humans.	27746093	
SDY215	TIV 2008 vaccination of CD95-/- mice and ELISA for detection of influenza-specific antibodies	17	ELISA	Mark.M.Davis (Stanford University)	Apoptosis and other immune biomarkers predict influenza vaccine responsiveness.	23591775	
SDY232	Determinants of human NK cell diversity by mass cytometry	22	CyTOF	Catherine Blish (Stanford University)	Genetic and environmental determinants of human NK cell diversity revealed by mass cytometry.	24154599	
SDY232	Determinants of human NK cell diversity by mass cytometry	22	CyTOF	Catherine Blish (Stanford University)	Coordinated regulation of NK receptor expression in the maturing human immune system.	25288567	
SDY312	T cell responses to H1N1v and a longitudinal study of seasonal influenza vaccination (TIV) - 2009 (See companion studies SDY315 2012 / SDY314 2008 / SDY311 2010 / SDY112 2011)	84	DNA microarray,Hemagglutination Inhibition,Flow Cytometry,Luminex xMAP	Mark.M.Davis (Stanford University)	Defective Signaling in the JAK-STAT Pathway Tracks with Chronic Inflammation and Cardiovascular Risk in Aging Humans.	27746093	
SDY387	Systems Biology Approach to Study Influenza Vaccine 2010-11 in Healthy Children (see companion studies SDY144, SDY368, SDY387)	22	DNA microarray,Hemagglutination Inhibition,Flow Cytometry,Virus Neutralization	Octavio Ramilo (Nationwide Children’s Hospital)	Induction of ICOS+CXCR3+CXCR5+ TH cells correlates with antibody responses to influenza vaccination.	23486778	
SDY404	Immunologic and genomic signatures of influenza vaccine response - 2011 (see companion studies SDY63, SDY400, SDY520)	72	DNA microarray,Hemagglutination Inhibition,Flow Cytometry	David Hafler (Yale University)	Prolonged proinflammatory cytokine production in monocytes modulated by interleukin 10 after influenza vaccination in older adults.	25367297	
SDY422	DFCI HLA typing	72	HLA Typing	Ellis Reinherz (Dana Farber Cancer Institute)	Human leukocyte antigen typing using a knowledge base coupled with a high-throughput oligonucleotide probe array analysis.	25505899	
SDY460	B and T Cell Determinants of Influenza Vaccine Responses in the Elderly 2008 (see companion study SDY773)	27	Sequencing	Scott Boyd (Stanford University School of Medicine)	Effects of aging, cytomegalovirus infection, and EBV infection on human B cell repertoires.	24337376	
SDY514	Monozygotic and Dizygotic Twin Pair T-Cell Responses to Influenza Vaccination 2009	74	Hemagglutination Inhibition,Flow Cytometry,Luminex xMAP	Mark.M.Davis (Stanford University)	Variation in the human immune system is largely driven by non-heritable influences.	25594173	
SDY515	Monozygotic and Dizygotic Twin Pair T-Cell Responses to Influenza Vaccination 2010	84	Hemagglutination Inhibition,Flow Cytometry,Luminex xMAP,CyTOF	Mark.M.Davis (Stanford University)	Variation in the human immune system is largely driven by non-heritable influences.	25594173	
SDY519	Monozygotic and Dizygotic Twin Pair T-Cell Responses to Influenza Vaccination 2011	63	Hemagglutination Inhibition,Flow Cytometry,Luminex xMAP,CyTOF	Mark.M.Davis (Stanford University)	Variation in the human immune system is largely driven by non-heritable influences.	25594173	
